"lab_id","date_collected","site","lab_sample","date_processed","height_mm","condition","sample_notes","mantle_rftm","ggr1_frozen","ggr2_etoh","cross_histology","date_davidsons","date_etoh","...15","...16","...17","ww_total_g","length_mm","width_mm","dissection_notes","ggr1_etoh","adductor_etoh","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...18","...19","...20"
"1023GOLD_06",2023-10-16,"GOLD",6,2023-10-17,82.7,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,63.79,58.33,22.05,"polydora",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_07",2023-10-16,"GOLD",7,2023-10-17,112.49,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,74.93,51.82,30.72,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_08",2023-10-16,"GOLD",8,2023-10-17,115.45,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,43.73,38.44,13.99,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_09",2023-10-16,"GOLD",9,2023-10-17,118.82,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,133.87,65.59,27.79,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_10",2023-10-16,"GOLD",10,2023-10-17,141.95,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,81.59,49.76,20.03,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_11",2023-10-16,"GOLD",11,2023-10-17,83.76,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,53.41,47.24,19.86,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_12",2023-10-16,"GOLD",12,2023-10-17,109.51,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,96.78,60.35,30.74,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_13",2023-10-16,"GOLD",13,2023-10-17,112.29,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,75.3,55.38,24.39,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_14",2023-10-16,"GOLD",14,2023-10-17,125.86,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,105.7,56.82,23.36,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_15",2023-10-16,"GOLD",15,2023-10-17,100.34,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,49.09,47.12,24.2,"poor histology sample",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_16",2023-10-16,"GOLD",16,2023-10-17,100.21,"6_fair_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,50.15,49.79,17.47,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_17",2023-10-16,"GOLD",17,2023-10-17,87.48,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,57.78,51.22,27.52,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_18",2023-10-16,"GOLD",18,2023-10-17,90.75,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,53.97,50.17,23.23,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_19",2023-10-16,"GOLD",19,2023-10-17,119.87,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,82.25,57.37,21.29,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_20",2023-10-16,"GOLD",20,2023-10-17,139.69,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,68.53,42.54,18.98,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_21",2023-10-16,"GOLD",21,2023-10-17,104.29,"6_fair_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,69.31,53.38,19.99,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_22",2023-10-16,"GOLD",22,2023-10-17,107.35,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,66.2,46.45,30.06,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_23",2023-10-16,"GOLD",23,2023-10-17,112.87,"8_poor",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,49.37,47.97,15.88,"poor histology sample",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_24",2023-10-16,"GOLD",24,2023-10-17,135.01,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,71.13,48.14,19.13,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_25",2023-10-16,"GOLD",25,2023-10-17,109.74,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,54.43,50.21,18.63,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_26",2023-10-16,"GOLD",26,2023-10-17,148.27,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,95.27,49.9,19.41,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_27",2023-10-16,"GOLD",27,2023-10-17,115.07,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,69.73,53.92,27.71,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_28",2023-10-16,"GOLD",28,2023-10-17,99.75,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,64.15,48.28,22.59,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
