"Date","Sample_ID","Concentration","Units"
"20/06/2024 12:12:09 PM","0623ASHC_07",63.6,"ng/uL"
"20/06/2024 12:12:09 PM","0623ASHC_08",51.2,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_09",35.1,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_10",37.2,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_11",38.9,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_12",38.4,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_13",67.6,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_14",39.7,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_15",41.2,"ng/uL"
"20/06/2024 12:12:53 PM","0623ASHC_16",40.4,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_17",82,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_18",40,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_19",90.4,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_20",54.4,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_21",76.4,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_22",69.2,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_23",41.2,"ng/uL"
"20/06/2024 12:13:21 PM","0623ASHC_24",66.4,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_25",63.2,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_26",59.2,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_27",74.8,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_28",42,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_29",119,"ng/uL"
"20/06/2024 12:13:48 PM","0623ASHC_30",39.6,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_01",7.88,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_02",31.2,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_03",54.4,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_04",39.8,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_05",22.7,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_06",64.4,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_07",33.6,"ng/uL"
"20/06/2024 11:59:42 AM","0623FENC_08",29.9,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_09",61.6,"ng/uL"
