"Location Properties"
"Location Name = AshCreek"
"Location ID = 82862c1c-6906-4407-9675-91cd165864a7"
""
"Report Properties"
"Start Time = 2024-08-26 11:42:38"
"Duration = 55.20:00:06"
"Readings = 2681"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005261"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = ASHC_2024_SONDE5261"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = 72cf1513-30bc-40ff-90c0-df10bf61485c"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","pH (pH) (982925)","pH mV (mV) (982925)","ORP (mV) (982925)","Actual Conductivity (µS/cm) (1026742)","Specific Conductivity (µS/cm) (1026742)","Salinity (PSU) (1026742)","Resistivity (Ω⋅cm) (1026742)","Density (g/cm³) (1026742)","Total Dissolved Solids (ppt) (1026742)","RDO Concentration (mg/L) (1003422)","RDO Saturation (%Sat) (1003422)","Oxygen Partial Pressure (Torr) (1003422)","Chlorophyll-a Fluorescence (RFU) (1005348)","Temperature (°C) (1005261)","External Voltage (V) (1005261)","Battery Capacity (%) (1005261)","Barometric Pressure (mm Hg) (1005261)"
"2024-08-27 03:42:38","7.88718","-59.35192","386.89777","39884.676","40754.04","26.450008","25.072287","1.0172186","26.490126","7.628561","104.146614","146.42036","0.025831979","23.883142","0.036","92","767.6374"
"2024-08-27 04:12:38","7.9035378","-60.29606","387.284","39931.5","40880.39","26.539026","25.042887","1.0173135","26.572256","7.7543607","105.734764","148.67928","0.17777365","23.784746","0.036","92","767.6374"
"2024-08-27 04:42:38","7.923214","-61.450005","388.1375","39769.1","40734.723","26.433397","25.14515","1.0172411","26.47757","7.820331","106.52094","149.79166","0.07245519","23.758894","0.036","92","767.6374"
"2024-08-27 05:12:38","7.935685","-62.184334","389.28668","39862.91","40832.348","26.503763","25.085976","1.0172948","26.541027","7.9045763","107.70822","151.46178","0.04335931","23.75697","0.036","92","767.6374"
"2024-08-27 05:42:38","7.920437","-61.28311","395.01825","39658.71","40634.28","26.360632","25.215141","1.0171908","26.412283","7.81496","106.37334","149.58835","0.15350258","23.74301","0.027","92","767.6374"
"2024-08-27 06:12:38","7.886722","-59.2947","399.01416","39757.836","40744.79","26.440063","25.152275","1.0172539","26.484112","7.4834566","101.88746","143.2829","0.049714595","23.731787","0.027","92","767.6374"
"2024-08-27 06:42:38","7.854222","-57.36828","399.00464","39638.246","40671.246","26.385689","25.228159","1.0172303","26.43631","7.304035","99.30546","139.66714","0.025886523","23.67022","0.027","92","767.6374"
"2024-08-27 07:12:38","7.771397","-52.485466","382.487","39678.008","40733.43","26.429928","25.202879","1.0172712","26.47673","6.239353","84.811584","119.28801","0.018066911","23.643433","0.036","92","767.6374"
"2024-08-27 07:42:38","7.756388","-51.59378","383.68384","39616.734","40706.35","26.409409","25.241858","1.0172683","26.459127","6.336978","86.0601","121.05364","0.0144171305","23.598547","0.036","92","767.6374"
"2024-08-27 08:12:38","7.6827455","-47.245026","379.42572","39608.39","40760.777","26.446886","25.247175","1.0173187","26.494505","5.655151","76.71003","107.916626","0.013027683","23.519794","0.027","92","767.6374"
"2024-08-27 08:42:38","7.6449146","-45.00866","368.22955","39435.895","40632.684","26.353165","25.357609","1.0172653","26.411245","5.6045914","75.89993","106.78856","0.0133825205","23.457914","0.027","92","767.6374"
"2024-08-27 09:12:38","7.631874","-44.260025","361.01978","39466.727","40563.6","26.306217","25.3378","1.0171945","26.36634","5.3974757","73.23902","103.02188","0.010110825","23.584248","0.027","92","767.6374"
"2024-08-27 09:42:38","7.57701","-41.046143","354.8352","39195.6","40190.99","26.040506","25.513067","1.0169606","26.124142","5.4990554","74.66048","104.99929","0.0091484245","23.703331","0.036","92","767.6374"
"2024-08-27 10:12:38","7.5650625","-40.37857","368.57288","38987.383","39770.23","25.743462","25.649324","1.0166615","25.850649","5.548875","75.56232","106.21709","0.0077456157","23.96941","0.036","92","767.6374"
"2024-08-27 10:42:38","7.568371","-40.61699","390.7315","38437.723","38968.37","25.174097","26.01611","1.0161425","25.329441","5.7273035","78.173706","109.82453","0.0073205796","24.287046","0.036","92","767.6374"
"2024-08-27 11:12:38","7.543689","-39.21032","396.63953","37536.566","37776.707","24.328352","26.64069","1.0153973","24.554861","5.743219","78.5346","110.25399","0.008502003","24.667177","0.045","92","767.6374"
"2024-08-27 11:42:38","7.5197353","-37.841797","392.69128","35923.94","35898.312","22.99773","27.83659","1.0142906","23.333904","6.0252347","82.29963","115.458954","0.007463639","25.03738","0.054","92","767.6374"
"2024-08-27 12:12:38","7.585492","-41.804314","395.4331","34671.94","34310.992","21.882399","28.841764","1.0133045","22.302145","6.6862154","91.56687","128.33266","0.0078043616","25.550785","0.063","92","767.6374"
"2024-08-27 12:42:38","7.5140367","-37.62722","381.6239","33228.83","32598.717","20.684538","30.09435","1.0122718","21.189167","6.4645305","88.63951","124.11626","0.005545979","26.012005","0.072","92","767.6374"
"2024-08-27 13:12:38","7.6557636","-46.076775","381.92432","34343.65","33543.137","21.349665","29.117466","1.0127","21.803038","7.208683","99.6229","139.42862","0.0061170417","26.24948","0.072","92","767.6374"
"2024-08-27 13:42:38","7.753021","-51.555634","390.78394","40089.67","40458.203","26.249691","24.94408","1.0168846","26.297832","6.6271763","91.39159","128.33823","0.013608489","24.523094","0.045","92","767.6374"
"2024-08-27 14:12:38","7.938522","-62.742233","380.47473","40205.59","39736.633","25.749014","24.872164","1.0161877","25.828812","8.448951","118.40945","165.93114","0.019146679","25.617884","0.054","92","767.6374"
"2024-08-27 14:42:38","7.9927487","-65.984726","359.265","40807.72","40236.16","26.111032","24.505167","1.0164223","26.153505","9.108201","128.18744","179.58876","0.13851862","25.743721","0.054","92","767.6374"
"2024-08-27 15:12:38","8.045263","-69.10324","354.27252","41138.535","40549.113","26.33722","24.30811","1.016587","26.356924","9.553716","134.67024","188.6646","0.33979985","25.761045","0.063","92","767.6374"
"2024-08-27 15:42:38","8.091044","-71.82598","349.80933","41222.594","40608.39","26.380535","24.258541","1.0166104","26.395454","9.997038","141.02864","197.56023","0.25706655","25.79189","0.063","92","767.6374"
"2024-08-27 16:12:38","8.097561","-72.197914","353.85767","41563.836","40991.207","26.656319","24.059378","1.0168357","26.644285","9.971608","140.74345","197.18437","0.12008496","25.731388","0.063","92","767.6374"
"2024-08-27 16:42:38","8.078013","-70.991516","358.3781","41457.566","41039.586","26.687986","24.12105","1.0169185","26.675732","9.7463875","137.12201","192.18561","0.02584529","25.533232","0.063","92","767.6374"
