"Location Properties"
"Location Name = Gold Star Beach, NY"
"Location ID = ec19e1b1-9de7-4230-9910-8f32e59cfdab"
""
"Report Properties"
"Start Time = 2024-09-16 10:50:10"
"Duration = 28.23:30:03"
"Readings = 1392"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_0624GOLD"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = b5c2cf2d-2d6c-4d2d-a0ff-11326b002e59"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (1111279)","pH mV (mV) (1111279)","ORP (mV) (1111279)","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2024-09-18 04:50:11","1.1918993","7.587556","-58.670044","59.319572","36007.094","37889.363","24.363749","27.772305","1.0160536","24.628088","6.128174","79.961464","112.43929","22.399052","0.018","99","772.6816"
"2024-09-18 05:20:11","1.191986","7.5577197","-56.92959","59.128838","36251.375","38109.645","24.5218","27.585161","1.01616","24.771269","6.1812906","80.79865","113.60755","22.447062","0.018","99","772.6816"
"2024-09-18 05:50:11","1.0123483","7.605951","-59.752464","56.525307","36178.42","38055.836","24.482761","27.640785","1.0161387","24.736294","6.1374083","80.16359","112.720184","22.417112","0.009","99","772.6816"
"2024-09-18 06:20:11","1.4826308","7.6400537","-61.75518","59.73442","35972.047","37829.1","24.321543","27.799364","1.0160134","24.588917","6.926136","90.40159","127.11345","22.429811","0.018","99","772.6816"
"2024-09-18 06:50:11","1.5013326","7.6196585","-60.548782","58.68538","36170.797","38076.125","24.496357","27.646612","1.0161588","24.749481","6.6448193","86.73984","121.974625","22.380108","0.018","99","772.6816"
"2024-09-18 07:20:11","1.2650857","7.558852","-56.95343","57.33116","35601.477","37593.152","24.148932","28.088722","1.0159374","24.43555","6.525402","84.77292","119.23868","22.22619","0.018","99","772.6816"
"2024-09-18 07:50:11","1.1975869","7.6602783","-62.947273","62.33795","36230.293","38079.367","24.50047","27.601212","1.016141","24.751589","7.1346426","93.266815","131.13625","22.45767","0.018","99","772.6816"
"2024-09-18 08:20:11","1.3140086","7.6146245","-60.281754","70.52048","37064.23","38908.574","25.093836","26.98019","1.016573","25.290573","6.592517","86.57134","121.71001","22.518217","0.018","99","772.6816"
"2024-09-18 08:50:11","0.7124928","7.606476","-59.79061","58.904724","36598.86","38469.94","24.778948","27.323256","1.0163527","25.005463","6.5824304","86.180626","121.17364","22.453535","0.018","99","772.6816"
"2024-09-18 09:20:11","0.51458967","7.6240797","-60.825348","62.395172","37244.125","39139.887","25.257998","26.849873","1.0167116","25.440928","6.621673","86.95229","122.2565","22.464108","0.018","99","772.6816"
"2024-09-18 09:50:11","0.35754105","7.6242013","-60.825348","65.79979","37305.04","39231.195","25.322506","26.80603","1.0167696","25.500277","6.623256","86.95135","122.26215","22.42945","0.018","99","772.6816"
"2024-09-18 10:20:11","0.5503922","7.631484","-61.2545","64.14993","37371.668","39293.523","25.36736","26.758238","1.016801","25.54079","6.6947136","87.92791","123.63328","22.439257","0.018","99","772.6816"
"2024-09-18 10:50:11","0.5083442","7.6348605","-61.45954","69.92443","37332.094","39225.395","25.319407","26.786604","1.0167557","25.496508","6.7230945","88.329475","124.19105","22.47292","0.018","99","772.6816"
"2024-09-18 11:20:11","0.45207083","7.631501","-61.25927","72.90466","37283.605","39186.656","25.291306","26.82144","1.0167385","25.471327","6.7095327","88.112305","123.88887","22.457396","0.018","99","772.6816"
"2024-09-18 11:50:11","0.18115039","7.632288","-61.306953","79.313354","37411.504","39315.254","25.383549","26.729746","1.0168062","25.554914","6.709112","88.165634","123.96235","22.464779","0.018","99","772.6816"
"2024-09-18 12:20:11","0.385709","7.6265182","-60.9684","83.499985","37418.887","39323.51","25.389442","26.724472","1.0168109","25.560282","6.6414824","87.278854","122.71565","22.464148","0.018","99","772.6816"
"2024-09-18 12:50:11","0.6918548","7.650152","-62.360764","83.33309","37401.47","39282.47","25.360752","26.736917","1.0167814","25.533606","6.848441","90.0304","126.578354","22.492989","0.018","99","772.6816"
"2024-09-18 13:20:11","0.54795444","7.6098146","-59.990883","82.52724","37439.707","39336.473","25.398998","26.70961","1.0168151","25.568708","6.464859","84.97975","119.48084","22.475443","0.018","99","772.6816"
"2024-09-18 13:50:11","0.7716165","7.608591","-59.919357","77.25342","37401.332","39295.305","25.369547","26.737015","1.0167925","25.541948","6.485705","85.24099","119.84793","22.47652","0.018","99","772.6816"
"2024-09-18 14:20:11","1.7536861","7.5682163","-57.53994","78.93665","37100.23","39023.45","25.173618","26.95401","1.0166597","25.365242","6.386026","83.74975","117.762276","22.419706","0.018","99","772.6816"
"2024-09-18 14:50:11","1.0368323","7.581515","-58.32672","84.80175","37262.355","39166.6","25.276882","26.836737","1.0167285","25.458292","6.6082654","86.77061","122.00295","22.454498","0.018","99","772.6816"
