Date,Bag_Number,Shell_Height,Site
6/10/2024,3,44.07,ASH
6/10/2024,3,35.05,ASH
6/10/2024,3,24.67,ASH
6/10/2024,3,26.13,ASH
6/10/2024,3,27.51,ASH
6/10/2024,3,25.32,ASH
6/10/2024,3,32.23,ASH
6/10/2024,3,39.74,ASH
6/10/2024,3,21.6,ASH
7/10/2024,1,46.87,ASH
7/10/2024,1,56.75,ASH
7/10/2024,1,37.42,ASH
7/10/2024,1,38.97,ASH
7/10/2024,1,39.12,ASH
7/10/2024,1,45.12,ASH
7/10/2024,1,51.17,ASH
7/10/2024,1,42.96,ASH
7/10/2024,1,42.05,ASH
7/10/2024,1,56.48,ASH
7/10/2024,1,42.78,ASH
7/10/2024,1,27.3,ASH
7/10/2024,1,51.61,ASH
7/10/2024,1,42.8,ASH
7/10/2024,1,35.13,ASH
7/10/2024,1,53.42,ASH
7/10/2024,1,34.28,ASH
7/10/2024,1,38.66,ASH
7/10/2024,1,35.77,ASH
7/10/2024,1,42.69,ASH
7/10/2024,1,38.99,ASH
7/10/2024,1,41.23,ASH
7/10/2024,1,46.89,ASH
7/10/2024,1,44.49,ASH
7/10/2024,1,46.98,ASH
7/10/2024,1,31.93,ASH
7/10/2024,1,47.65,ASH
7/10/2024,1,31.24,ASH
7/10/2024,1,52.06,ASH
7/10/2024,1,32.08,ASH
7/10/2024,1,48.44,ASH
7/10/2024,1,34.02,ASH
7/10/2024,1,46.98,ASH
7/10/2024,1,34.36,ASH
7/10/2024,1,45.75,ASH
7/10/2024,1,37.16,ASH
7/10/2024,1,37.02,ASH
7/10/2024,1,58.41,ASH
7/10/2024,1,41.91,ASH
7/10/2024,1,42.24,ASH
7/10/2024,1,37.62,ASH
7/10/2024,1,45.35,ASH
7/10/2024,1,41.95,ASH
7/10/2024,1,32.98,ASH
7/10/2024,1,49.87,ASH
7/10/2024,1,31.16,ASH
7/10/2024,1,42.54,ASH
7/10/2024,1,33.46,ASH
7/10/2024,1,55.34,ASH
7/10/2024,1,41.05,ASH
7/10/2024,1,51.6,ASH
7/10/2024,1,30.93,ASH
7/10/2024,1,43.7,ASH
7/10/2024,1,44.4,ASH
7/10/2024,1,43.64,ASH
7/10/2024,1,36.33,ASH
7/10/2024,1,36.23,ASH
7/10/2024,1,45.94,ASH
7/10/2024,2,40.05,ASH
7/10/2024,2,46.37,ASH
7/10/2024,2,50.1,ASH
7/10/2024,2,43.76,ASH
7/10/2024,2,367.2,ASH
7/10/2024,2,55.97,ASH
7/10/2024,2,57.08,ASH
7/10/2024,2,50.98,ASH
7/10/2024,2,49.09,ASH
7/10/2024,2,52.7,ASH
7/10/2024,2,47.55,ASH
7/10/2024,2,47.14,ASH
7/10/2024,2,41.32,ASH
7/10/2024,2,46.17,ASH
7/10/2024,2,40.03,ASH
7/10/2024,2,49.54,ASH
7/10/2024,2,43.57,ASH
7/10/2024,2,44.78,ASH
7/10/2024,2,52.49,ASH
7/10/2024,2,44.35,ASH
7/10/2024,2,35.31,ASH
7/10/2024,2,44.35,ASH
7/10/2024,2,53.43,ASH
7/10/2024,2,49.11,ASH
7/10/2024,2,43.94,ASH
7/10/2024,2,56.42,ASH
7/10/2024,2,51.42,ASH
7/10/2024,2,65,ASH
7/10/2024,2,47.25,ASH
7/10/2024,2,30.83,ASH
7/10/2024,2,46.44,ASH
7/10/2024,2,59.89,ASH
7/10/2024,2,43.1,ASH
7/10/2024,2,36.02,ASH
7/10/2024,2,27.21,ASH
7/10/2024,2,39.19,ASH
7/10/2024,2,38.04,ASH
7/10/2024,2,39.37,ASH
7/10/2024,2,33.47,ASH
7/10/2024,2,37.8,ASH
7/10/2024,2,39.17,ASH
7/10/2024,2,29.78,ASH
7/10/2024,3,37.55,ASH
7/10/2024,3,42.67,ASH
7/10/2024,3,27.32,ASH
7/10/2024,3,55.45,ASH
7/10/2024,3,40.2,ASH
7/10/2024,3,45.34,ASH
7/10/2024,3,30.21,ASH
7/10/2024,3,26.66,ASH
7/10/2024,3,38.32,ASH
7/10/2024,3,38.92,ASH
7/10/2024,3,45.5,ASH
7/10/2024,3,44.43,ASH
7/10/2024,3,34.18,ASH
7/10/2024,3,20.09,ASH
7/10/2024,3,34.44,ASH
7/10/2024,3,41.06,ASH
7/10/2024,3,42.09,ASH
7/10/2024,3,32.23,ASH
7/10/2024,3,39.56,ASH
7/10/2024,3,34.01,ASH
7/10/2024,3,54.95,ASH
7/10/2024,3,37.51,ASH
7/10/2024,3,44,ASH
7/10/2024,3,33.11,ASH
7/10/2024,3,40.05,ASH
7/10/2024,3,46.3,ASH
7/10/2024,3,37.25,ASH
7/10/2024,3,43.61,ASH
7/10/2024,3,37.95,ASH
7/10/2024,3,31.41,ASH
7/10/2024,3,54.35,ASH
7/10/2024,3,43.51,ASH
7/10/2024,3,19.08,ASH
7/10/2024,3,37.4,ASH
