Date,Bag_Number,Shell_Height,Site
7/1/2024,3,33.86,FENC
7/1/2024,3,48.15,FENC
7/1/2024,3,41.83,FENC
7/1/2024,3,35.42,FENC
7/1/2024,3,37.89,FENC
7/1/2024,3,41.67,FENC
7/1/2024,3,54.82,FENC
7/1/2024,3,29.35,FENC
7/1/2024,3,30.19,FENC
7/1/2024,3,32.4,FENC
7/1/2024,3,35.03,FENC
7/1/2024,3,27.88,FENC
7/1/2024,3,41.88,FENC
7/1/2024,3,40.65,FENC
7/1/2024,3,31.86,FENC
7/1/2024,3,37.17,FENC
7/1/2024,3,39.64,FENC
7/1/2024,3,33.95,FENC
7/1/2024,3,49.04,FENC
7/1/2024,3,40.59,FENC
7/1/2024,3,39.34,FENC
7/1/2024,3,22.85,FENC
7/1/2024,3,34.41,FENC
7/1/2024,3,40.68,FENC
7/1/2024,3,42.34,FENC
7/1/2024,3,33.69,FENC
7/1/2024,3,41.37,FENC
7/1/2024,3,52.87,FENC
7/1/2024,3,32.98,FENC
7/1/2024,3,42.54,FENC
7/1/2024,3,32.8,FENC
7/1/2024,3,48.44,FENC
7/1/2024,3,52.48,FENC
7/1/2024,3,31.71,FENC
7/1/2024,3,54.29,FENC
7/1/2024,3,30.09,FENC
7/1/2024,3,23.72,FENC
7/1/2024,3,35.01,FENC
7/1/2024,3,42.55,FENC
7/1/2024,3,30.76,FENC
7/1/2024,3,30.59,FENC
7/1/2024,3,34.98,FENC
7/1/2024,3,30.88,FENC
7/1/2024,3,26.48,FENC
7/1/2024,3,37.28,FENC
7/1/2024,3,52.47,FENC
7/1/2024,3,33.02,FENC
7/1/2024,3,43.48,FENC
7/1/2024,3,29.09,FENC
7/1/2024,3,38.53,FENC
7/1/2024,3,52.68,FENC
7/1/2024,3,31.22,FENC
