lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0723FENC_18,7/12/2023,FENC,18,lower,under_bridge,7/13/2023,134.99,140.46,64.92,23.63,4_fair_plus,shell very brittle; pea crab; boring sponge; conchiolin; scaring; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_19,7/12/2023,FENC,19,lower,under_bridge,7/13/2023,189.41,114.58,71.18,34.37,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_20,7/12/2023,FENC,20,upper,lease_sun,7/13/2023,109.59,91.44,50,35.38,4_fair_plus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_21,7/12/2023,FENC,21,upper,lease_sun,7/13/2023,161.13,128.17,67.49,35.36,3_good_minus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_22,7/12/2023,FENC,22,upper,lease_sun,7/13/2023,81.37,109.08,60.08,22.77,4_fair_plus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_23,7/12/2023,FENC,23,upper,lease_sun,7/13/2023,79.13,117.43,63.39,21.26,5_fair,"Lease Site; pea crab; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_24,7/12/2023,FENC,24,upper,lease_sun,7/13/2023,101.93,137.65,47.54,25.98,4_fair_plus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_25,7/12/2023,FENC,25,upper,lease_sun,7/13/2023,69.4,121.45,61.96,21.67,4_fair_plus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_26,7/12/2023,FENC,26,lower,lease_sun,7/13/2023,40.77,85.7,59.27,25.93,3_good_minus,"Lease Site; pea crab; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_27,7/12/2023,FENC,27,lower,lease_sun,7/13/2023,71.85,89.78,68.27,23.68,3_good_minus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_28,7/12/2023,FENC,28,lower,lease_sun,7/13/2023,128.82,110.31,80.66,33.41,5_fair,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_29,7/12/2023,FENC,29,lower,lease_sun,7/13/2023,42.66,92.18,56.94,18.18,4_fair_plus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_30,7/12/2023,FENC,30,lower,lease_sun,7/13/2023,134.47,110.55,78.91,35.51,3_good_minus,"Lease Site; conchiolin; mud blisters, polydora/worms",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,
